Course Name,Region,Website,Email,Phone
Akarana Golf Club,Auckland,https://www.akaranagolf.co.nz/,admin@akaranagolf.co.nz,09 621 0024
Awhitu Golf Club,Auckland,http://www.awhitugolf.co.nz/,awhitugolf@xtra.co.nz,09 235 1031
Broadwood Golf Club,Auckland,http://www.redwoodparkgolf.co.nz/,manager@redwoodparkgolf.co.nz,09 833 8253
Chamberlain Park Golf Club,Auckland,http://www.chamberlainpark.co.nz/,dratahi@live.com,09 815 4999
Clarks Beach Golf Club,Auckland,http://www.clarksbeachgolfclub.co.nz/,proshop@clarksbeachgolfclub.co.nz,09 232 1788
Formosa Golf Resort,Auckland,https://www.rydges.com/accommodation/new-zealand/formosa-golf-resort/?utm_source=google&utm_medium=organic&utm_campaign=gmb,golf@formosagolfresort.co.nz,09 218 3870
Futures Auckland - Tamaki Makaurau,Auckland,http://newfuture.nz/,futures@aucklandgolf.nz,020 485 7020
GOLFIXX Indoor Golf,Auckland,https://golfixx.nz/,golfixx.nz@gmail.com,0210 907 8528
Helensville Golf Club,Auckland,http://www.helensvillegolf.co.nz/,manager@helensvillegolf.co.nz,09 420 5454
Howick Golf Club,Auckland,http://www.howickgolf.co.nz/,golfshop@howickgolf.co.nz,09 535 1001
Huapai Golf Club,Auckland,http://www.huapaigolf.co.nz/,rexd@hah.co.nz,09 412 8809
Maungakiekie Golf Club,Auckland,https://www.maungakiekiegolf.co.nz/,admin@maungakiekiegolf.co.nz,09 621 0090
Maxwells Golf Club,Auckland,http://www.maxwellsgolf.co.nz/,info@maxwellsgolf.co.nz,09 236 0911
Muriwai Golf Club,Auckland,http://www.muriwaigolfclub.co.nz/,gm@muriwaigolflinks.co.nz,09 411 8454
North Golf - Harbour,Auckland,,ceo@northgolf.nz,
North Shore Golf Club,Auckland,http://www.northshoregolfclub.co.nz/,admin@nsgc.co.nz,09 415 9924
Northridge Golf Resort,Auckland,http://www.northridgelodge.com/,info@northridgecountrylodge.com,09 426 5324
Omaha Beach Golf Club,Auckland,http://www.omahagolf.co.nz/,gm@omahagolf.co.nz,09 422 7551
Pakuranga Golf Club,Auckland,http://www.pakurangagolf.co.nz/,admin@pakurangagolf.co.nz,09 534 3818
Pukekohe Golf Club,Auckland,https://www.pukekohegolf.co.nz/,info@pukekohegolf.co.nz,09 294 8822
Pupuke Golf Club,Auckland,http://www.pupuke.co.nz/,golf@pupukegolf.co.nz,09 410 7906
Remuera Golf Club,Auckland,http://www.remueragolfclub.com/,enquiries@remueragolfclub.com,09 524 4288
RNZAF Auckland Golf Club,Auckland,https://rnzafaucklandgolf.co.nz/,admin@rnzafaucklandgolf.co.nz,09 417 7000
Royal Auckland and Grange Golf Club,Auckland,https://raggc.com/,golfbookings@raggc.com,09 975 6330
Royal NZ Navy Golf Society Golf Club,Auckland,http://www.golf.co.nz/,,09 485 3230
South Head Golf Club,Auckland,https://www.southheadgolf.co.nz/,hello@southheadgolf.co.nz,09 420 2838
Takapuna Golf Course,Auckland,https://www.tgolf.co.nz/,jay.lee@tgolf.co.nz,09 443 5002
Tapora Golf Club,Auckland,http://www.taporagolf.co.nz/,admin@taporagolf.co.nz,021 165 5346
Tara Iti Golf Club,Auckland,http://www.taraiti.com/,,09 431 4600
Te Arai Links,Auckland,http://www.tearai.com/,reservation@tearai.com,09 883 4600
The Green Pinnacle,Auckland,https://thegreenpinnacle.co.nz/,info@thegreenpinnacle.co.nz,09 360 0910
Titirangi Golf Club,Auckland,http://www.titirangigolf.co.nz/,manager@titirangigolf.co.nz,09 827 5749
Waiheke Island Golf Club,Auckland,https://www.waihekegolfclub.co.nz/,info@waihekegolfclub.co.nz,09 372 8886
Wainui Golf Club,Auckland,https://wainui.online/,admin@wainui.online,09 444 3437
Waitakere Golf Club,Auckland,https://www.waitakeregolfclub.co.nz/,office@waitakeregolfclub.co.nz,09 810 9399
Waitemata Golf Club,Auckland,https://www.waitematagolf.co.nz/,admin@waitematagolf.co.nz,09 445 8716
Waiuku Golf & Squash Club,Auckland,https://www.waiukugolfandsquash.com/,info@waiukugolfandsquash.com,09 235 9489
Warkworth Golf Club,Auckland,https://www.warkworthgolfclub.co.nz/,thedivot@warkworthgolfclub.co.nz,09 425 8248
Wattle Downs Golf Course,Auckland,http://wattledownsgolf.co.nz/,admin@wattledownsgolf.co.nz,09 268 1929
Wellsford Golf Club,Auckland,http://wellsfordgolf.co.nz/,wgcwellsford@xtra.co.nz,09 423 8385
Whangaparaoa Golf Club,Auckland,https://www.wgcgolf.net/,whangaparaoa@wgcgolf.net,09 424 5441
Whitford Park Golf Club,Auckland,https://www.whitfordpark.co.nz/,office@whitfordpark.co.nz,09 530 8823
Windross Farm Golf Course,Auckland,http://windrossfarm.co.nz/,office@windrossfarm.co.nz,09 281 5414
BOP Golf,Bay of Plenty,https://www.golf.co.nz/bay-of-plenty,sam.kendall@golfnz.org,
Fairview Golf Club,Bay of Plenty,https://fairviewestate.co.nz/,info@fairviewgolf.co.nz,07 549 3412
Hamurana Golf Club,Bay of Plenty,https://www.hamurana.co.nz/,hamuranaexperience@gmail.com,0800 426 872
Hamurana Springs Nature Park & Golf Course,Bay of Plenty,http://hamurana.co.nz/#,hamuranaexperience@gmail.com,0800 426 8726
Hinehopu Golf Club,Bay of Plenty,,hinehopugolfclub@gmail.com,07 362 7629
Kawerau Golf Club,Bay of Plenty,http://www.kaweraugolfclub.co.nz/,kaweraugolfclub@gmail.com,07 323 7095
Lake Rotoiti Golf Course,Bay of Plenty,,info@cogentcorp.co.nz,07 362 7823
Lake View Golf and Country Club,Bay of Plenty,http://lakeviewgolf.co.nz/,lakeview@golf.co.nz,07 357 2341
Mount Maunganui Golf Club,Bay of Plenty,http://www.mountgolf.co.nz/,info@mountgolf.co.nz,07 572 7044
Murupara Golf Club,Bay of Plenty,,trina.bockman@tll.co.nz,0274 664 153
Ohope Beach Golf Links,Bay of Plenty,http://www.ohopegolf.co.nz/,office@ohopegolf.nz,07 312 4486
Ohope International Golf Course,Bay of Plenty,http://www.ohopegolf.co.nz/,office@ohopegolf.nz,07 312 4486
Omanu Golf Club,Bay of Plenty,http://www.omanugolf.co.nz/,manager@omanugolf.co.nz,07 575 5957
Omokoroa Golf Club,Bay of Plenty,http://www.omokoroagolf.co.nz/,info@omokoroagolf.co.nz,07 548 0384
Opotiki Golf Club,Bay of Plenty,http://www.opotikigolf.co.nz/,opotikigolf@xtra.co.nz,07 315 7415
Otumoetai Golf Club,Bay of Plenty,http://www.otumoetaigolf.co.nz/,info@otumoetaigolf.co.nz,07 576 9739
Renner Park Golf Club,Bay of Plenty,http://www.rennerparkgolf.co.nz,manager@rennerparkgolf.co.nz,07 543 4954
Rotorua Golf Club,Bay of Plenty,http://rotoruagolfclub.co.nz/,holly@redspot.co.nz,07 348 4051
Springfield Golf Club,Bay of Plenty,http://www.springfieldgolf.co.nz/,admin@springfieldgolf.co.nz,07 348 2748
Summerhill Golf Course,Bay of Plenty,http://www.summerhillestate.co.nz/,info@summerhillestate.co.nz,0210 518 653
Tauranga Golf Club,Bay of Plenty,http://www.taurangagolf.co.nz/,drew.whitten@rothbury.co.nz,07 578 8465
Te Puke Golf Club,Bay of Plenty,http://www.tepukegolfclub.co.nz/,proshop@tepukegolfclub.co.nz,07 533 1115
Te Teko Golf Club,Bay of Plenty,,tetekogolf1@xtra.co.nz,021929549
Wairakei Resort,Bay of Plenty,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=C493&merchantid=seo-maps-NZ-C493&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,reservations@wairakei.co.nz,07 374 9004
Whakatane Golf Club,Bay of Plenty,https://www.whakatanegolf.com/,office@whakatanegolf.co.nz,07 308 8117
Akaroa Golf Club,Canterbury,http://www.akaroagolf.co.nz/,akaroagolf@xtra.co.nz,03 304 5704
Amberley Golf Club,Canterbury,http://www.amberleygolf.co.nz/,amberleygolf@gmail.com,03 314 8735
Amuri Golf Club,Canterbury,http://www.canterburygolf.co.nz/clubs/amuri-golf-club/,info@canterburygolf.co.nz,021 413 744
Ashburton Golf Club,Canterbury,http://www.ashburtongolf.co.nz/,admin@ashburtongolf.co.nz,03 308 6371
Avondale Golf Club,Canterbury,http://avondalegolfclub.co.nz/,avondaleoffice@xtra.co.nz,03 388 8203
Ben Ohau Golf Club,Canterbury,http://benohaugolf.co.nz/,benohaugolf@xtra.co.nz,03 435 0302
Bottle Lake Golf Club,Canterbury,http://www.bottlelakegolf.co.nz/,office@bottlelakegolf.co.nz,03 383 1403
Burnham Golf Club,Canterbury,http://burnhamgolf.weebly.com/,ekara.lewis@lincoln.ac.nz,03 347 6818
Canterbury Golf,Canterbury,http://www.canterburygolf.co.nz/,Blair@canterburygolf.co.nz,03 359 4000
Charteris Bay Golf Club,Canterbury,http://www.charterisbay.co.nz/,charterisbaygolf@gmail.com,021 188 6293
Cheviot Golf Club,Canterbury,http://www.canterburygolf.co.nz/clubs/cheviot-golf-club/,info@canterburygolf.co.nz,03 319 8719
Christchurch Golf Club,Canterbury,https://www.christchurchgolf.co.nz/,admin@christchurchgolf.co.nz,03 385 9506
Clearwater Golf Club,Canterbury,http://www.clearwatergolf.co.nz/,play@clearwatergolf.co.nz,03 360 2146
Coringa Golf Club,Canterbury,http://www.coringagolfclub.co.nz/,office@coringagolfclub.co.nz,03 359 7174
Culverden Golf Club,Canterbury,http://www.canterburygolf.co.nz/clubs/culverden-golf-club/,info@canterburygolf.co.nz,03 315 8159
Ellesmere Golf Club,Canterbury,http://www.ellesmeregolf.co.nz/,ellesmeregolfclub@gmail.com,03 324 2886
Everglades Country Golf Club,Canterbury,http://www.canterburygolf.co.nz/clubs/everglades-golf-club/,info@canterburygolf.co.nz,03 323 8641
Fairlie Golf Club,Canterbury,http://golf.fairlienz.com/,fairliegolf@gmail.com,03 971 2595
Geraldine District Golf Club,Canterbury,http://www.geraldinegolf.co.nz/,clubservices@geraldinegolf.co.nz,021 224 1244
Gleniti Golf Club,Canterbury,http://www.glenitigolf.co.nz/,glenitigolf@xtra.co.nz,03 686 0305
Grande Vue Golf Club,Canterbury,,grandevuegolf@gmail.com,
Greendale Golf Club,Canterbury,http://www.greendalegolf.com,office@greendalegolf.com,03 318 8046
Hagley Golf Club,Canterbury,https://www.hagleygc.org.nz/,hagleygc@xtra.co.nz,03 379 8279
Hanmer Springs Golf Club,Canterbury,https://www.hanmerspringsgolf.co.nz/,lesliemitchell2@gmail.com,03 315 7110
Harewood Golf Club,Canterbury,https://www.harewoodgolf.co.nz/,manager@harewoodgolf.co.nz,03 359 8843
Hawarden Golf Club,Canterbury,http://www.hawardengolf.com/,admin@hawardengolf.com,03 314 4490
Highfield Golf Club,Canterbury,http://www.timaruclubs.co.nz/highfield-golf-club,admin@timaruclubs.co.nz,021 026 594 93
Hororata Golf Club,Canterbury,https://www.hororatagolf.co.nz/,hororatagc@gmail.com,03 318 2887
Kaiapoi Golf Club,Canterbury,http://www.kaiapoigolf.co.nz/,info@kaiapoigolf.co.nz,03 327 7320
Kaikoura Golf Club,Canterbury,https://www.kaikouragolf.co.nz/,info@kaikouragolf.co.nz,03 319 5628
Kaituna Golf Course,Canterbury,http://www.canterburygolf.co.nz/clubs/kaituna-golf-club/,info@canterburygolf.co.nz,027 266 3037
Kurow Golf Club,Canterbury,http://www.kurowgolfclub.co.nz,kurow.golf@gmail.com,
Lincoln Golf Club,Canterbury,https://www.lincolngolf.co.nz/,admin@lincolngolf.co.nz,03 325 2453
Mackenzie Golf Club,Canterbury,,,027 243 5986
Maungati Golf Club,Canterbury,http://www.aorangigolf.org.nz/clubs/maungati-golf-club/,hello@golfnz.org,03 612 9805
Mayfield Golf Club,Canterbury,http://www.aorangigolf.org.nz/clubs/mayfield-golf-club/,hello@golfnz.org,021 555 629
McLeans Island Golf Club,Canterbury,https://www.mcleansislandgolf.co.nz/,golfshop@mcleansislandgolf.co.nz,03 359 9768
Methven Golf Club,Canterbury,http://www.methvengolf.co.nz/,methvengolf@xtra.co.nz,027 502 8439
Mt Nessing Golf Club,Canterbury,,,0272753118
Omarama Golf Club,Canterbury,http://www.omaramagolfclub.co.nz/,secretary@omaramagolfclub.co.nz,0274 389 018
Otematata Golf Club,Canterbury,,,0226768789
Pegasus Golf Club,Canterbury,http://www.pegasus-golfclub.co.nz/,webmaster@pegasus-golfclub.co.nz,03 920 3300
Pleasant Point Golf Club,Canterbury,https://www.pleasantpointgolf.co.nz/,pleasantpointgolf@farmside.co.nz,020 424 1949
Rakaia Golf Club,Canterbury,http://www.aorangigolf.org.nz/clubs/rakaia-golf-club/,hello@golfnz.org,03 302 7114
Rangiora Golf Club,Canterbury,http://rangioragolfclub.co.nz,rangioragolfclub@gmail.com,03 313 6666
Rawhiti Golf Club,Canterbury,https://www.rawhitigolfclub.co.nz/,rawhitigolfclub@gmail.comor,03 388 7408
Russley Golf Club,Canterbury,https://russleygolfclub.co.nz/,info@russleygc.co.nz,03 358 4748
Scargill Golf Club,Canterbury,https://www.scargillgolfclub.nz/,scargillgolf@gmail.com,03 314 3854
