region,clubId,name,address1,address2,address3,email,phone,website,lat,lng,holes,hasTeeBooking,url
Aorangi,931,Aorangi Golf,,,,hami.goldsmith@golfnz.org,022 095 7159,,-44.3018,171.236908,0,False,https://www.golf.co.nz/club-detail?clubid=931
Aorangi,111,Ashburton Golf Club,Golf Links Road,Ashburton 7772,New Zealand,admin@ashburtongolf.co.nz,(03) 308 6371,,-43.8812752,171.773087,0,True,https://www.golf.co.nz/club-detail?clubid=111
Aorangi,514,Ben Ohau Golf Club,1 Mackenzie Drive,Twizel,,benohaugolf@xtra.co.nz,03 435 0302,,-44.26114,170.094727,0,False,https://www.golf.co.nz/club-detail?clubid=514
Aorangi,153,Fairlie Golf Club,26 Talbot Street,FAIRLIE,,fairliegolf@gmail.com,027 413 7504,,-44.10096,170.8343,0,False,https://www.golf.co.nz/club-detail?clubid=153
Aorangi,922,Futures Aorangi,,,,tom.wilson@golfnz.org,027 764 2777,,-44.3018,171.236908,0,False,https://www.golf.co.nz/club-detail?clubid=922
Aorangi,160,Geraldine District Golf Club,10 Orari Back Road,GERALDINE,,clubservices@geraldinegolf.co.nz,021 224 1244,,-44.1109123,171.281464,0,True,https://www.golf.co.nz/club-detail?clubid=160
Aorangi,163,Gleniti Golf Club,36 Oakwood Road,4 R D,Timaru,glenitigolf@xtra.co.nz,03 686 0305,,-44.37519,171.183212,0,True,https://www.golf.co.nz/club-detail?clubid=163
Aorangi,168,Grande Vue Golf Club,Gresham St,Geraldine,Sth Canterbury,grandevuegolf@gmail.com,,,-44.1021957,171.231186,0,False,https://www.golf.co.nz/club-detail?clubid=168
Aorangi,189,Highfield Golf Club,77 Douglas St,,Highfield,,021 026 594 93,,-44.38387,171.224243,0,False,https://www.golf.co.nz/club-detail?clubid=189
Aorangi,232,Mackenzie Golf Club,Murray Place,Lake Tekapo,,,03 6806 883,,-44.00602,170.407257,0,False,https://www.golf.co.nz/club-detail?clubid=232
Aorangi,258,Maungati Golf Club,700 Claremont Valley Rd,Maungati,South Canterbury,macdale@xtra.co.nz,03 6129805,,-44.45339,170.984512,0,False,https://www.golf.co.nz/club-detail?clubid=258
Aorangi,260,Mayfield Golf Club,"30 Bulls Road,",Ashburton,,,021 555 629,,-43.8176651,171.443283,0,False,https://www.golf.co.nz/club-detail?clubid=260
Aorangi,263,Methven Golf Club,84 HOBBS ROAD,METHVEN,,methvengolf@xtra.co.nz,0275028439,,-43.6319122,171.626144,0,True,https://www.golf.co.nz/club-detail?clubid=263
Aorangi,272,Mt Nessing Golf Club,215 Falvey Road,RD5,Timaru,,0272753118 ,,-44.2687073,170.7791,0,False,https://www.golf.co.nz/club-detail?clubid=272
Aorangi,333,Pleasant Point Golf Club,44 Butlers Road,Pleasant Point,,pleasantpointgolf@farmside.co.nz,03 614 7304 - Cell 0204241949,,-44.26115,171.15657,0,True,https://www.golf.co.nz/club-detail?clubid=333
Aorangi,350,Rakaia Golf Club,Rakaia Golf Club,Acton Road,Rakaia,rakaiagolfclub@gmail.com,,,-43.79012,172.072327,0,False,https://www.golf.co.nz/club-detail?clubid=350
Aorangi,414,Temuka Golf Club,124 Domain Ave,Temuka,,muptaylor@xtra.co.nz,03 6159666  /0212780779,,-44.2492561,171.2926,0,False,https://www.golf.co.nz/club-detail?clubid=414
Aorangi,578,The Cairns Golf Course,Sibbald Lane,Lake Tekapo,,info@thecairns.co.nz,03 680 6952,,-44.005703,170.471375,0,False,https://www.golf.co.nz/club-detail?clubid=578
Aorangi,419,Timaru Golf Club,Timaru Golf Club,87 Lynchs Road  Timaru,,timarugc@xtra.co.nz,03 688 2012,,-44.3018,171.236908,0,True,https://www.golf.co.nz/club-detail?clubid=419
Aorangi,420,Tinwald Golf Club,Frasers Road ,Tinwald,Ashburton,info@tinwaldgolf.co.nz,03 308 4577,,-43.921772,171.710342,0,False,https://www.golf.co.nz/club-detail?clubid=420
Aorangi,448,Waimate Golf Club,Browns Road,WAIMATE,,office@waimategolfclub.co.nz,,,-44.71844,171.03688,0,True,https://www.golf.co.nz/club-detail?clubid=448
Auckland,921,Afrikaans Golf Club,,,,agolfanz@gmail.com,022 560 3445,,-36.8871346,174.820236,0,False,https://www.golf.co.nz/club-detail?clubid=921
Auckland,100,Akarana Golf Club,1388 Dominion Road,Mt Roskill Auckland 1041,New Zealand,admin@akaranagolf.co.nz,(09) 621-0024,,-36.9132576,174.7391,0,True,https://www.golf.co.nz/club-detail?clubid=100
Auckland,942,Auckland Golf,,,,jacob@aucklandgolf.nz,,,-36.8871346,174.820236,0,False,https://www.golf.co.nz/club-detail?clubid=942
Auckland,548,Auckland Regional Police Golf Club,162 Jervois Road,Herne Bay,Auckland 1011,gavin@uprealestate.co.nz,09 4892699,,-36.786377,174.770828,0,False,https://www.golf.co.nz/club-detail?clubid=548
Auckland,116,Awhitu Golf Club,Brook Rd,Awhitu,,awhitugolf@xtra.co.nz,09 235 1299,,-37.0904465,174.64621,0,True,https://www.golf.co.nz/club-detail?clubid=116
Auckland,131,Chamberlain Park Golf Club,46A Linwood Ave,Western Springs,Auckland 1025,chamberlainpark.ladies@outlook.com,09 8154999,,-36.8718452,174.719742,0,True,https://www.golf.co.nz/club-detail?clubid=131
Auckland,137,Clarks Beach Golf Club,100 Stevenson Road,Clarks Beach,Auckland 2122,proshop@clarksbeachgolfclub.co.nz,(09) 232 1788,,-37.14004,174.699753,0,True,https://www.golf.co.nz/club-detail?clubid=137
Auckland,158,Formosa Golf Resort,110 Jack Lachland Drive,Beachlands,Auckland,golf@formosagolfresort.co.nz,09 218 3870,,-36.8991165,174.995468,0,True,https://www.golf.co.nz/club-detail?clubid=158
Auckland,915,Futures Auckland - Tamaki Makaurau,120 Abbotts Way,Remuera,,futures@aucklandgolf.nz,09 218 6908 ,,-36.8871346,174.820236,0,False,https://www.golf.co.nz/club-detail?clubid=915
Auckland,929,GOLFIXX Indoor Golf,231 Archers Road,Wairau Valley,North Shore,golfixx.nz@gmail.com,0210 907 8528,,-36.77884,174.742142,0,False,https://www.golf.co.nz/club-detail?clubid=929
Auckland,926,Gumboot Golf Club,,,,anita@iamhope.org.nz,021 448 789,,-36.8871346,174.820236,0,False,https://www.golf.co.nz/club-detail?clubid=926
Auckland,196,Howick Golf Club,32 Musick Point Road,Bucklands Beach, Auckland,office@howickgolf.co.nz,(09) 535 1001,,-36.8585434,174.901138,0,True,https://www.golf.co.nz/club-detail?clubid=196
Auckland,515,Maramarua Golf Club,40 Golf Rd ,Mangatawhiri,,maramarua@xtra.co.nz,09 232 5702,,-37.2327,175.164185,0,True,https://www.golf.co.nz/club-detail?clubid=515
Auckland,256,Maungakiekie Golf Club,5 Anita Avenue,Mount Roskill,Auckland 1041,gm@maungakiekiegolf.co.nz,(09) 621 0090,,-36.91971,174.7322,0,True,https://www.golf.co.nz/club-detail?clubid=256
Auckland,560,Maxwells Golf Club,Maxwells Golf Retreat,205B Ingram Road,Ramarama RD3 Drury,info@maxwellsgolf.co.nz,09 236 0911,,-37.1771164,174.952728,0,False,https://www.golf.co.nz/club-detail?clubid=560
Auckland,302,Onewhero Golf Club,Cnr Main & Churchill Roads,Pukekawa 2696,New Zealand,office@onewherogolf.co.nz,(09) 233 4038,,-37.352,174.984329,0,True,https://www.golf.co.nz/club-detail?clubid=302
Auckland,315,Pakuranga Golf Club,199 Botany Road,Golflands,Auckland 2013,admin@pakurangagolf.co.nz,(09) 534-3818,,-36.91818,174.913025,0,True,https://www.golf.co.nz/club-detail?clubid=315
Auckland,338,Pukekohe Golf Club,654 Karaka Rd,Karaka,2578,manager@pukekohegolf.co.nz,(09) 294 8822,,-37.1352158,174.885788,0,True,https://www.golf.co.nz/club-detail?clubid=338
Auckland,361,Remuera Golf Club,120 Abbotts Way,Remuera,Auckland,enquiries@remueragolfclub.com,09-524 4288,,-36.8871346,174.820236,0,True,https://www.golf.co.nz/club-detail?clubid=361
Auckland,112,Royal Auckland and Grange Golf Club,57 Grange Road,Papatoetoe,Auckland 2025,golfbookings@raggc.com,(09) 975 6330,,-36.9607353,174.837662,0,True,https://www.golf.co.nz/club-detail?clubid=112
Auckland,539,Royal NZ Navy Golf Society Golf Club,"C/o FEC, NAVAL BASE,",Devonport,Auckland,,,,-36.82744,174.796692,0,False,https://www.golf.co.nz/club-detail?clubid=539
Auckland,927,Te Kahui Matatoa  Golf Club,,,,aroha.tito@golfnz.org,0211435755,,-36.8871346,174.820236,0,False,https://www.golf.co.nz/club-detail?clubid=927
Auckland,593,The Green Pinnacle,565 Great North Road,,Grey Lynn,info@thegreenpinnacle.co.nz,093600910,,-83.04798,39.867363,0,False,https://www.golf.co.nz/club-detail?clubid=593
Auckland,423,Titirangi Golf Club,11 Links Rd,New Lynn,Auckland 0600,manager@titirangigolf.co.nz,09 827 5749,,-36.9168777,174.686966,0,True,https://www.golf.co.nz/club-detail?clubid=423
Auckland,516,Waiheke Island Golf Club,133 Onetangi Road,Onetangi,Waiheke Island 1081,info@waihekegolfclub.co.nz,(09) 372-8886,,-36.8005371,175.073563,0,True,https://www.golf.co.nz/club-detail?clubid=516
