CLUB NAME,DISTRICT,HOLES
Ashburton Golf Club,AORANGI,
Gleniti Golf Club,AORANGI,
Tinwald Golf Club,AORANGI,
Pleasant Point Golf Club,AORANGI,
Timaru Golf Club,AORANGI,
Ben Ohau Golf Club,AORANGI,9
Geraldine District Golf Club,AORANGI,
Temuka Golf Club,AORANGI,
Waimate Golf Club,AORANGI,
Fairlie Golf Club,AORANGI,
Mayfield Golf Club,AORANGI,9
Mt Nessing Golf Club,AORANGI,9
Rakaia Golf Club,AORANGI,9
Highfield Golf Club,AORANGI,
Maungati Golf Club,AORANGI,9
Grande Vue Golf Club,AORANGI,9
Mackenzie Golf Club,AORANGI,9
The Cairns Golf Course,AORANGI,9
Methven Golf Club,AORANGI,
Royal Auckland and Grange Golf Club,AUCKLAND,27
Remuera Golf Club,AUCKLAND,
Maungakiekie Golf Club,AUCKLAND,
Pakuranga Golf Club,AUCKLAND,
Akarana Golf Club,AUCKLAND,
Whitford Park Golf Club,AUCKLAND,
Titirangi Golf Club,AUCKLAND,
Clarks Beach Golf Club,AUCKLAND,
Windross Farm Golf Course,AUCKLAND,
Pukekohe Golf Club,AUCKLAND,
Howick Golf Club,AUCKLAND,
Waiuku Golf & Squash Club,AUCKLAND,
Waiheke Island Golf Club,AUCKLAND,10
Onewhero Golf Club,AUCKLAND,
Chamberlain Park Golf Club,AUCKLAND,9
Maramarua Golf Club,AUCKLAND,
Formosa Golf Resort,AUCKLAND,
Wattle Downs Golf Club,AUCKLAND,9
Maxwells Golf Club,AUCKLAND,9
Mount Maunganui Golf Club,BAY OF PLENTY,
Taupo Golf Club,BAY OF PLENTY,
Omanu Golf Club,BAY OF PLENTY,
Tauranga Golf Club,BAY OF PLENTY,
Te Puke Golf Club,BAY OF PLENTY,
Omokoroa Golf Club,BAY OF PLENTY,
Whakatane Golf Club,BAY OF PLENTY,
Ohope Beach Golf Links,BAY OF PLENTY,
Springfield Golf Club,BAY OF PLENTY,
Rotorua Golf Club,BAY OF PLENTY,
Kinloch Village Golf Club,BAY OF PLENTY,
Otumoetai Golf Club,BAY OF PLENTY,9
Opotiki Golf Club,BAY OF PLENTY,
Lake View Golf and Country Club,BAY OF PLENTY,
Wairakei International Golf Course,BAY OF PLENTY,
Turangi Golf Club,BAY OF PLENTY,
Te Teko Golf Club,BAY OF PLENTY,
Kawerau Golf Club,BAY OF PLENTY,
Reporoa Golf Club,BAY OF PLENTY,
Hinehopu Golf Club,BAY OF PLENTY,
Summerhill Golf Course,BAY OF PLENTY,9
Hamurana Golf Club,BAY OF PLENTY,9
Murupara Golf Club,BAY OF PLENTY,
Waikite Valley Golf Club,BAY OF PLENTY,9
The Kinloch Club,BAY OF PLENTY,
Waimakariri Gorge Golf Club,CANTERBURY,
Harewood Golf Club,CANTERBURY,
Russley Golf Club,CANTERBURY,
Waimairi Beach Golf Club,CANTERBURY,
Christchurch Golf Club,CANTERBURY,
Avondale Golf Club,CANTERBURY,
Weedons Country Club,CANTERBURY,
Waitikiri Golf Club,CANTERBURY,
Coringa Golf Club,CANTERBURY,
Templeton Golf Club,CANTERBURY,
Clearwater Golf Club,CANTERBURY,
Rangiora Golf Club,CANTERBURY,
Kaiapoi Golf Club,CANTERBURY,
Bottle Lake Golf Club,CANTERBURY,
Tai Tapu Golf Club,CANTERBURY,9
Lincoln Golf Club,CANTERBURY,9
Pegasus Golf Club,CANTERBURY,
Hagley Golf Club,CANTERBURY,
Ellesmere Golf Club,CANTERBURY,
Akaroa Golf Club,CANTERBURY,
Hororata Golf Club,CANTERBURY,
Rawhiti Golf Club,CANTERBURY,
McLeans Island Golf Club,CANTERBURY,
Amberley Golf Club,CANTERBURY,
Burnham Golf Club,CANTERBURY,
Everglades Country Golf Club,CANTERBURY,9
Hanmer Springs Golf Club,CANTERBURY,
Greendale Golf Club,CANTERBURY,
Charteris Bay Golf Club,CANTERBURY,9
Terrace Downs Golf Club,CANTERBURY,
Cheviot Golf Club,CANTERBURY,12
